,lot,am_or_pm,browser_info,company,credit_card,cc_exp_date,cc_security_code,cc_provider,job,ip_address,language,purchase_price
33,70 Wd,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.1),Miles Inc,4981497027087090,05/25,867,VISA 16 digit,Theatre stage manager,187.206.154.93,ru,19.63
34,14 qe,PM,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/5310 (KHTML, like Gecko) Chrome/14.0.801.0 Safari/5310","Morgan, Dunlap and Lopez",4488424222907706,01/21,311,JCB 15 digit,"Therapist, music",46.198.92.108,pt,89.6
35,37 om,AM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_4) AppleWebKit/5340 (KHTML, like Gecko) Chrome/13.0.858.0 Safari/5340",Mora Ltd,6011049630969815,09/16,367,Mastercard,"Lecturer, further education",216.23.95.40,zh,97.46
36,80 Fq,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.1),Hanna-Grant,180042289507877,09/20,912,VISA 16 digit,Animal technologist,85.134.58.250,zh,9.77
37,10 LL,AM,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.1),"Lawson, Rodriguez and Ramirez",180062205588942,06/18,902,American Express,"Psychologist, occupational",17.202.105.185,es,80.42
38,15 vj,AM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2011-04-07 21:42:36 Firefox/11.0,"Bryant, Hubbard and Gonzales",210094965373094,12/20,248,Voyager,Music therapist,143.138.65.219,en,30.07
39,31 MN,AM,Opera/8.23.(X11; Linux x86_64; sl-SI) Presto/2.9.172 Version/11.00,"Sweeney, Miller and Castaneda",30508996615114,02/19,369,JCB 16 digit,Minerals surveyor,47.93.149.75,el,13.89
40,35 gn,AM,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/533.34.1 (KHTML, like Gecko) Version/5.0.4 Safari/533.34.1",Weiss Group,348836222401711,05/26,667,Voyager,Tourist information centre manager,102.225.220.122,pt,87.68
41,21 lh,PM,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/532.45.3 (KHTML, like Gecko) Version/4.0.4 Safari/532.45.3",Scott-Fuller,4547562019036152,08/20,716,Mastercard,Tax inspector,246.108.171.137,ru,23.06
42,40 cz,AM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2013-10-19 12:16:29 Firefox/7.0,"Atkinson, Conway and Young",3096412225633417,12/20,454,Discover,"Buyer, industrial",50.235.90.141,de,51.21
43,60 Uq,PM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5341 (KHTML, like Gecko) Chrome/13.0.807.0 Safari/5341",Matthews-Meyer,6011488855778396,04/23,543,Discover,Purchasing manager,242.88.41.9,el,51.79
44,81 Ym,PM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.0),Esparza Ltd,30003479457184,08/24,719,JCB 16 digit,Heritage manager,95.100.249.114,en,8.58
45,07 Cd,PM,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5312 (KHTML, like Gecko) Chrome/13.0.817.0 Safari/5312",Jackson-Allen,869978354045368,03/26,406,American Express,Games developer,222.242.66.78,es,18.69
46,23 Xz,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.1),Brown-Brown,30124451554465,08/20,545,JCB 16 digit,Careers adviser,38.56.10.36,pt,53.99
47,55 DV,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5330 (KHTML, like Gecko) Chrome/14.0.823.0 Safari/5330",Sanchez PLC,4237333090755,09/20,446,Maestro,Facilities manager,84.195.175.153,it,97.01
48,59 Vv,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_8) AppleWebKit/5330 (KHTML, like Gecko) Chrome/15.0.856.0 Safari/5330",Diaz-Farrell,210095502370279,05/24,253,JCB 16 digit,"Chemist, analytical",13.159.43.73,ru,58.66
49,37 XR,PM,Opera/8.11.(X11; Linux x86_64; it-IT) Presto/2.9.163 Version/10.00,"Ingram, Sullivan and Contreras",5374455122083499,05/25,657,VISA 13 digit,"Horticulturist, amenity",84.240.35.144,es,86.38
50,46 Ce,PM,Mozilla/5.0 (Windows 98; Win 9x 4.90; sl-SI; rv:1.9.2.20) Gecko/2016-05-03 02:05:14 Firefox/3.8,"Wright, Williams and Mendez",4008586485908075,05/19,945,JCB 16 digit,Mechanical engineer,213.203.143.215,de,36.85
51,50 Ds,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2015-03-04 16:07:01 Firefox/3.8,"Howard, Garcia and Jones",4332227215237678,10/17,975,American Express,Tourist information centre manager,142.171.212.118,es,93.22
52,97 gz,PM,Opera/9.65.(Windows NT 5.1; it-IT) Presto/2.9.168 Version/12.00,Meza Group,3088085017234428,05/26,24,Discover,Clinical research associate,5.126.206.189,it,76.49
53,14 qD,AM,Opera/9.34.(X11; Linux x86_64; it-IT) Presto/2.9.160 Version/12.00,"Higgins, Cardenas and Kennedy",869972604798355,08/17,157,JCB 16 digit,Technical author,44.108.117.122,fr,10.41
54,93 Zp,PM,Opera/9.12.(Windows 98; sl-SI) Presto/2.9.175 Version/10.00,Underwood-Morgan,4529081312229,11/23,257,JCB 15 digit,Radio broadcast assistant,154.150.83.22,en,82.48
55,59 LJ,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; en-US) AppleWebKit/534.33.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6534.33.7",Sims-Lyons,3158113629128344,09/19,857,VISA 16 digit,"Engineer, broadcasting (operations)",227.235.89.210,pt,48.74
56,10 DU,AM,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_7; rv:1.9.5.20) Gecko/2012-12-13 14:38:07 Firefox/3.6.19,"Taylor, Lloyd and Aguilar",3088511373952816,02/26,813,VISA 16 digit,Clothing/textile technologist,100.59.92.18,el,77.67
57,50 Cq,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2012-10-18 11:33:26 Firefox/9.0,Coleman-Thompson,60441789637,01/24,56,Maestro,Holiday representative,135.11.140.254,es,65.85
58,95 aS,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_6 rv:6.0; it-IT) AppleWebKit/535.40.7 (KHTML, like Gecko) Version/4.0.4 Safari/535.40.7","Decker, Wilson and Brown",210066586272145,06/18,609,Mastercard,Housing manager/officer,77.68.59.64,el,10.87
59,14 On,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0) AppleWebKit/5350 (KHTML, like Gecko) Chrome/13.0.891.0 Safari/5350",Vaughan-Daniel,3337792525603205,10/20,662,Discover,"Teacher, special educational needs",139.242.244.155,zh,87.05
60,63 qu,AM,Opera/8.68.(X11; Linux x86_64; en-US) Presto/2.9.160 Version/12.00,Marshall-Fernandez,349767747049645,05/20,672,JCB 15 digit,"Engineer, agricultural",197.144.142.102,de,20.43
61,31 nX,AM,"Mozilla/5.0 (Windows 98) AppleWebKit/5321 (KHTML, like Gecko) Chrome/14.0.861.0 Safari/5321","Turner, Juarez and Barnes",4107899971187,01/17,6113,VISA 16 digit,"Buyer, retail",76.32.252.85,el,17.65
62,94 PS,AM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5341 (KHTML, like Gecko) Chrome/14.0.839.0 Safari/5341","White, Reese and Arnold",4707246703256,09/25,671,VISA 13 digit,"Doctor, general practice",237.133.183.104,de,40.4
63,21 hH,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; en-US) AppleWebKit/531.40.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6531.40.1",Evans LLC,4048210894501098,08/19,652,JCB 16 digit,Hotel manager,183.221.168.62,de,44.11
64,97 QO,AM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_2 rv:3.0; it-IT) AppleWebKit/534.40.7 (KHTML, like Gecko) Version/4.0 Safari/534.40.7",Villa Inc,869930676434762,11/21,578,Discover,"Engineer, civil (consulting)",218.171.210.9,it,72.45
65,36 MW,AM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2011-02-20 05:10:34 Firefox/3.8,"Cruz, Barrett and Fisher",4115398853010199,06/21,477,VISA 16 digit,General practice doctor,15.202.223.202,pt,47.82
66,51 iB,AM,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_8; rv:1.9.5.20) Gecko/2014-12-03 00:18:35 Firefox/3.8,Ewing and Sons,6011879049056030,07/23,352,JCB 16 digit,Careers adviser,44.37.36.104,en,24.0
67,35 LT,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5350 (KHTML, like Gecko) Chrome/13.0.876.0 Safari/5350",Perkins Ltd,30192367132296,01/20,802,Mastercard,Jewellery designer,63.196.241.168,pt,37.51
68,61 Lr,PM,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/3.1),"Jones, Perez and Cole",3112101128292245,03/21,291,American Express,"Therapist, speech and language",97.111.87.31,en,76.89
69,48 Dv,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/4.0),Floyd Group,30570877809646,07/23,320,Voyager,Operational researcher,163.73.80.163,pt,33.86
70,76 NA,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4 rv:4.0; it-IT) AppleWebKit/532.49.5 (KHTML, like Gecko) Version/5.0.1 Safari/532.49.5",Garcia-Leon,4754420478628,09/25,65,JCB 16 digit,Forensic scientist,213.132.122.145,ru,78.91
71,33 yt,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; sl-SI) AppleWebKit/535.28.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6535.28.2",Martin-Carlson,6011247468571287,01/21,5345,American Express,Civil Service fast streamer,91.227.207.58,it,83.27
72,09 Mk,PM,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_0; rv:1.9.6.20) Gecko/2010-06-25 09:31:27 Firefox/3.6.16,Riley PLC,4423224303743,12/23,355,VISA 13 digit,Graphic designer,149.124.11.228,pt,61.47
73,30 In,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/4.0),"Benson, Smith and Stevenson",4423155549717604,11/22,709,Voyager,Editorial assistant,253.240.59.192,el,31.49
74,04 bK,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2014-01-26 18:59:43 Firefox/13.0,"Hayes, Vance and Anderson",869934742446636,01/18,727,VISA 16 digit,Financial adviser,177.88.105.166,zh,43.33
75,75 Td,AM,Opera/8.29.(Windows 95; sl-SI) Presto/2.9.161 Version/10.00,Bush and Sons,4967640718082,08/22,274,JCB 15 digit,Purchasing manager,79.249.162.221,zh,87.81
76,71 iu,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_9 rv:4.0; sl-SI) AppleWebKit/533.3.3 (KHTML, like Gecko) Version/4.1 Safari/533.3.3",Jacobs-Tucker,6011343518820988,01/17,806,Voyager,Paramedic,210.207.58.168,fr,57.34
77,26 qt,AM,"Mozilla/5.0 (Windows 95) AppleWebKit/5342 (KHTML, like Gecko) Chrome/13.0.872.0 Safari/5342",Hampton Group,3096955150599680,02/23,529,Diners Club / Carte Blanche,"Development worker, community",203.156.63.185,en,20.77
78,43 xD,AM,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.41.3 (KHTML, like Gecko) Version/4.1 Safari/532.41.3",Morgan-Fleming,3337080082881103,07/25,35,VISA 16 digit,"Secretary, company",8.228.197.79,el,38.88
79,18 qy,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2013-03-15 11:16:33 Firefox/3.8,Hall and Sons,345049869053000,08/25,702,VISA 13 digit,Paediatric nurse,236.219.206.197,zh,8.67
80,99 Km,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/5.0),Perez PLC,210052619871160,09/20,738,Voyager,Data processing manager,63.115.141.253,it,77.5
81,01 sd,PM,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.1),Fowler Inc,3096082589629929,05/21,464,JCB 16 digit,Print production planner,172.64.177.225,it,60.69
82,35 ls,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; it-IT) AppleWebKit/532.13.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6532.13.7","Robinson, Johnston and Valdez",4351359627548412,06/17,937,VISA 13 digit,"Engineer, materials",163.129.163.100,fr,49.04
83,16 Kw,AM,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.1),Moyer LLC,639054559864,01/20,709,Maestro,Economist,222.87.50.202,it,46.45
84,68 Cs,PM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2013-06-17 17:05:53 Firefox/5.0,Guerrero PLC,4276544900618,10/19,558,JCB 15 digit,"Designer, furniture",173.31.107.196,fr,75.34
85,40 gc,AM,Mozilla/5.0 (Windows NT 6.2; en-US; rv:1.9.2.20) Gecko/2016-04-01 16:11:48 Firefox/3.8,Taylor-Rojas,30077423594250,01/22,536,VISA 16 digit,Human resources officer,86.26.150.179,el,86.56
86,18 as,PM,Opera/8.32.(Windows NT 5.1; sl-SI) Presto/2.9.169 Version/12.00,Figueroa-Jones,4505820111106,11/25,446,VISA 16 digit,Administrator,200.222.13.136,de,90.0
87,44 QK,AM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5330 (KHTML, like Gecko) Chrome/14.0.806.0 Safari/5330",Ortiz and Sons,4689681072647,08/23,73,VISA 16 digit,"Teacher, secondary school",217.203.235.236,ru,46.63
88,55 bP,PM,Opera/9.52.(Windows NT 5.01; sl-SI) Presto/2.9.172 Version/10.00,Martinez Ltd,5281638399252044,02/18,5266,Mastercard,Video editor,51.3.147.141,zh,47.67
89,37 gk,AM,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2; rv:1.9.6.20) Gecko/2010-05-03 22:51:58 Firefox/3.8,"Fletcher, Spencer and Caldwell",374818667778230,06/18,952,Voyager,Chartered certified accountant,164.139.44.133,el,35.01
90,31 tG,AM,Mozilla/5.0 (Windows NT 5.2; it-IT; rv:1.9.1.20) Gecko/2012-11-11 14:36:03 Firefox/3.6.15,Copeland-Lee,639032576097,06/18,868,Mastercard,"Teacher, English as a foreign language",153.188.13.203,es,78.86
91,64 Aj,AM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_7) AppleWebKit/5362 (KHTML, like Gecko) Chrome/15.0.837.0 Safari/5362",Robinson-Vargas,4215761669097552,12/24,83,JCB 16 digit,Airline pilot,89.214.57.82,fr,33.92
92,37 jN,AM,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/3.0),"Williams, Goodman and Morris",4748275281424579,01/18,496,JCB 15 digit,"Engineer, land",10.172.75.245,zh,73.41
93,54 hT,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; it-IT) AppleWebKit/531.47.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6531.47.2",Norman-Shaw,4276742718499,01/18,683,VISA 16 digit,Legal secretary,4.86.224.90,es,63.07
94,89 KL,AM,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_9; rv:1.9.3.20) Gecko/2015-06-21 02:19:08 Firefox/3.8,"Salazar, Harris and Webster",5144649980077788,04/23,670,Mastercard,"Administrator, arts",67.173.31.160,en,0.61
95,33 Uu,PM,Opera/9.21.(Windows NT 6.1; sl-SI) Presto/2.9.170 Version/10.00,Moore-Hall,3088798824982514,04/18,928,JCB 16 digit,Dealer,59.216.3.55,fr,19.56
96,20 bk,AM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_2 rv:4.0; it-IT) AppleWebKit/532.27.1 (KHTML, like Gecko) Version/5.1 Safari/532.27.1",Knight LLC,60498172646,09/25,600,Voyager,Town planner,200.220.84.25,fr,77.51
97,42 Nk,AM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2013-10-02 16:14:07 Firefox/7.0,"Parker, Nelson and Delgado",3528362130154694,02/25,366,Mastercard,Travel agency manager,126.124.175.181,ru,17.2
98,00 zU,AM,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/3.0),Simpson Inc,376660848256225,08/23,215,American Express,"Engineer, water",177.234.46.245,fr,38.75
99,78 NS,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/5.0),"Harper, Patrick and Richards",4913535442412,07/22,548,American Express,"Lecturer, higher education",136.255.248.130,fr,50.6
100,34 bB,AM,Opera/9.42.(X11; Linux x86_64; en-US) Presto/2.9.171 Version/10.00,"Guerrero, Benson and Johnson",4156259661649,11/24,289,Maestro,Higher education careers adviser,58.191.1.216,el,4.36
101,94 GW,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/5.1),Davenport-Gonzales,4760561833299,10/16,21,Voyager,Public relations officer,0.88.131.174,ru,93.72
102,95 Fi,PM,Mozilla/5.0 (Windows NT 6.1; it-IT; rv:1.9.0.20) Gecko/2012-04-29 18:01:39 Firefox/3.8,"Bradley, Cordova and Howell",6011922232822485,12/16,654,VISA 16 digit,Intelligence analyst,241.61.121.136,ru,91.67
103,11 wg,AM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_9) AppleWebKit/5342 (KHTML, like Gecko) Chrome/13.0.881.0 Safari/5342",Brown Inc,30276609779632,03/22,676,Discover,Technical sales engineer,119.178.136.56,it,51.37
104,88 Nk,AM,Opera/8.41.(Windows NT 6.1; it-IT) Presto/2.9.189 Version/12.00,"Romero, Newton and Brown",348578376501561,04/17,21,Discover,Dietitian,9.232.87.10,it,71.95
105,17 QU,AM,Opera/8.66.(X11; Linux x86_64; it-IT) Presto/2.9.171 Version/10.00,Martin Group,6011461160091540,06/21,513,JCB 16 digit,International aid/development worker,135.22.243.158,en,31.73
106,43 Ot,PM,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/5.0),Powers-Robinson,210040671644427,04/25,896,Mastercard,Learning disability nurse,27.11.180.35,ru,12.47
107,11 FV,PM,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_6; rv:1.9.2.20) Gecko/2014-10-07 20:39:22 Firefox/3.6.12,Harrison-Villarreal,5227129908327896,11/21,164,JCB 16 digit,"Geneticist, molecular",148.183.155.141,es,26.27
108,89 IB,PM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5321 (KHTML, like Gecko) Chrome/13.0.863.0 Safari/5321",Lee-Ponce,4844407681240346,07/17,445,Discover,Optometrist,192.138.227.24,pt,94.08
109,80 WW,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_1 rv:5.0; en-US) AppleWebKit/533.28.3 (KHTML, like Gecko) Version/5.0.2 Safari/533.28.3",Foster-Moyer,6011405492710392,09/16,912,JCB 16 digit,Building surveyor,36.123.232.211,fr,60.79
110,11 Mw,PM,Opera/9.63.(Windows NT 6.1; en-US) Presto/2.9.169 Version/10.00,Boyd LLC,4305067842460951,06/21,1366,JCB 15 digit,Sports therapist,112.65.194.242,it,66.44
